decall;dxcall;freq;band;S/N;datetime;country;continent;mode;decontinent;dxcontinent;de_country;skimmode
HA6PX;LZ5R;7039.2;40M;30;2016-02-14 13:36;Bulgaria;  EU;CW;EU;EU;Hungary;  EU;CQ
HA6PX;EM0I;21084.3;15M;29;2016-02-14 13:36;Ukraine;  EU;RTTY;EU;EU;Hungary;  EU;CQ
HA6PX;DL7CX;7046.6;40M;38;2016-02-14 13:36;Fed. Rep. of Germany;  EU;RTTY;EU;EU;Hungary;  EU;CQ
W8WWV;G3HGE;21030.1;15M;19;2016-02-14 13:36;England;  EU;CW;NA;EU;United States;  NA;CQ
WE9V;EM2G;21080.63;15M;21;2016-02-14 13:36;Ukraine;  EU;RTTY;NA;EU;United States;  NA;CQ
WE9V;OL7M;14084.84;20M;26;2016-02-14 13:36;Czech Republic;  EU;RTTY;NA;EU;United States;  NA;CQ
WE9V;E77DX;14094.04;20M;23;2016-02-14 13:36;Bosnia-Herzegovina;  EU;RTTY;NA;EU;United States;  NA;CQ
N6TV;VE4VT;7046.1;40M;24;2016-02-14 13:36;Canada;  NA;RTTY;NA;NA;United States;  NA;CQ
N6TV;RD0L;7045.9;40M;26;2016-02-14 13:36;European Russia;  EU;RTTY;NA;EU;United States;  NA;CQ
N6TV;JH6QFJ;7053.7;40M;27;2016-02-14 13:36;Japan;  AS;RTTY;NA;AS;United States;  NA;CQ
W3OA;E77DX;14094.1;20M;15;2016-02-14 13:36;Bosnia-Herzegovina;  EU;RTTY;NA;EU;United States;  NA;CQ
W3OA;EA1BD;21095.3;15M;18;2016-02-14 13:36;Spain;  EU;RTTY;NA;EU;United States;  NA;CQ
KP3Z;F5HB;28001.1;10M;8;2016-02-14 13:36;France;  EU;CW;NA;EU;United States;  NA;CQ
PJ2A;G0EKP;21024.0;15M;8;2016-02-14 13:36;England;  EU;CW;SA;EU;Curacao;  SA;CQ
PJ2A;F5HB;28000.9;10M;9;2016-02-14 13:36;France;  EU;CW;SA;EU;Curacao;  SA;CQ
DJ9IE;N0J;18070.0;17M;25;2016-02-14 13:36;United States;  NA;CW;EU;NA;Fed. Rep. of Germany;  EU;CQ
DJ9IE;OV1BCN;5290.5;null;21;2016-02-14 13:36;Denmark;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;null
K2NNY;G3HGE;21029.7;15M;27;2016-02-14 13:36;England;  EU;CW;NA;EU;United States;  NA;CQ
EI6BT;UA3RF;21082.6;15M;34;2016-02-14 13:36;European Russia;  EU;RTTY;EU;EU;Ireland;  EU;CQ
EI6BT;9A5D;14083.6;20M;37;2016-02-14 13:36;Croatia;  EU;RTTY;EU;EU;Ireland;  EU;CQ
EI6BT;ED3D;14099.9;20M;32;2016-02-14 13:36;Spain;  EU;RTTY;EU;EU;Ireland;  EU;CQ
EI6BT;NV1Q;21088.9;15M;40;2016-02-14 13:36;United States;  NA;RTTY;EU;NA;Ireland;  EU;CQ
EI6BT;DK6CQ;14096.6;20M;41;2016-02-14 13:36;Fed. Rep. of Germany;  EU;RTTY;EU;EU;Ireland;  EU;CQ
EI6BT;EA8AKQ;28092.8;10M;41;2016-02-14 13:36;Spain;  EU;RTTY;EU;EU;Ireland;  EU;CQ
EI6BT;EA1BD;21095.3;15M;41;2016-02-14 13:36;Spain;  EU;RTTY;EU;EU;Ireland;  EU;CQ
EI6BT;9A5K;14080.5;20M;49;2016-02-14 13:36;Croatia;  EU;RTTY;EU;EU;Ireland;  EU;CQ
EI6BT;YE1ZAT;21087.0;15M;9;2016-02-14 13:36;Indonesia;  OC;RTTY;EU;OC;Ireland;  EU;CQ
EI6BT;VE9WH;14087.9;20M;42;2016-02-14 13:36;Canada;  NA;RTTY;EU;NA;Ireland;  EU;CQ
EI6BT;E77DX;14094.1;20M;50;2016-02-14 13:36;Bosnia-Herzegovina;  EU;RTTY;EU;EU;Ireland;  EU;CQ
EI6BT;DL7CX;7046.6;40M;22;2016-02-14 13:36;Fed. Rep. of Germany;  EU;RTTY;EU;EU;Ireland;  EU;CQ
EI6BT;W2GR;14099.3;20M;27;2016-02-14 13:36;United States;  NA;RTTY;EU;NA;Ireland;  EU;CQ
LA6TPA;UA4FXQ;21096.5;15M;18;2016-02-14 13:36;European Russia;  EU;RTTY;EU;EU;Norway;  EU;CQ
KO7SS;KY0W;7062.14;40M;24;2016-02-14 13:36;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
KO7SS;JH6QFJ;7053.7;40M;27;2016-02-14 13:36;Japan;  AS;RTTY;NA;AS;United States;  NA;CQ
SE0X;DL9ZOG;7018.0;40M;15;2016-02-14 13:36;Fed. Rep. of Germany;  EU;CW;EU;EU;Sweden;  EU;CQ
GW8IZR;RA1TI;28025.0;10M;21;2016-02-14 13:36;European Russia;  EU;CW;EU;EU;England;  EU;CQ
VE3/N2WQ;DD9WG;14100.71;20M;12;2016-02-14 13:36;Fed. Rep. of Germany;  EU;RTTY;NA;EU;Canada;  NA;CQ
VE3/N2WQ;IK7XNF;21138.9;15M;8;2016-02-14 13:36;Italy;  EU;RTTY;NA;EU;Canada;  NA;CQ
VE3/N2WQ;PC6C;14127.99;20M;17;2016-02-14 13:36;Netherlands;  EU;RTTY;NA;EU;Canada;  NA;CQ
VE3/N2WQ;EB1BCG;14133.1;20M;18;2016-02-14 13:36;Spain;  EU;RTTY;NA;EU;Canada;  NA;CQ
VE3/N2WQ;N3QE;21127.33;15M;12;2016-02-14 13:36;United States;  NA;RTTY;NA;NA;Canada;  NA;CQ
VE3/N2WQ;DC6RI;14073.93;20M;14;2016-02-14 13:36;Fed. Rep. of Germany;  EU;RTTY;NA;EU;Canada;  NA;CQ
VE3/N2WQ;DL3SYA;14113.08;20M;13;2016-02-14 13:36;Fed. Rep. of Germany;  EU;RTTY;NA;EU;Canada;  NA;CQ
VE3/N2WQ;EA1BD;21095.17;15M;12;2016-02-14 13:36;Spain;  EU;RTTY;NA;EU;Canada;  NA;CQ
VE3/N2WQ;R9SN;21095.46;15M;20;2016-02-14 13:36;European Russia;  EU;RTTY;NA;EU;Canada;  NA;CQ
VE3/N2WQ;DL3BQA;21114.85;15M;26;2016-02-14 13:36;Fed. Rep. of Germany;  EU;RTTY;NA;EU;Canada;  NA;CQ
VE3/N2WQ;R7MM;21128.74;15M;15;2016-02-14 13:36;European Russia;  EU;RTTY;NA;EU;Canada;  NA;CQ
VE3/N2WQ;YL6W;21091.74;15M;28;2016-02-14 13:36;Latvia;  EU;RTTY;NA;EU;Canada;  NA;CQ
VE3/N2WQ;G3HGE;21029.9;15M;17;2016-02-14 13:36;England;  EU;CW;NA;EU;Canada;  NA;CQ
VE3/N2WQ;9A5K;14080.42;20M;44;2016-02-14 13:36;Croatia;  EU;RTTY;NA;EU;Canada;  NA;CQ
VE3/N2WQ;V55V;21101.81;15M;12;2016-02-14 13:36;Namibia;  AF;RTTY;NA;AF;Canada;  NA;CQ
VE3/N2WQ;DK3PM;21114.21;15M;21;2016-02-14 13:36;Fed. Rep. of Germany;  EU;RTTY;NA;EU;Canada;  NA;CQ
F1ZNS;YO2IS;14091.0;20M;24;2016-02-14 13:36;Romania;  EU;RTTY;EU;EU;France;  EU;CQ
UZ2HZ;EA8AKQ;28092.8;10M;35;2016-02-14 13:36;Spain;  EU;RTTY;EU;EU;European Russia;  EU;CQ
UZ2HZ;F5BSB;28090.6;10M;11;2016-02-14 13:36;France;  EU;RTTY;EU;EU;European Russia;  EU;CQ
UZ2HZ;F5HB;28001.0;10M;23;2016-02-14 13:36;France;  EU;CW;EU;EU;European Russia;  EU;CQ
HA1VHF;LZ5R;7039.2;40M;38;2016-02-14 13:36;Bulgaria;  EU;CW;EU;EU;Hungary;  EU;CQ
HA1VHF;N0J;18070.0;17M;16;2016-02-14 13:36;United States;  NA;CW;EU;NA;Hungary;  EU;CQ
K1TTT;SO9T;28097.6;10M;12;2016-02-14 13:36;Poland;  EU;RTTY;NA;EU;United States;  NA;CQ
K1TTT;DC6RI;14074.0;20M;18;2016-02-14 13:36;Fed. Rep. of Germany;  EU;RTTY;NA;EU;United States;  NA;CQ
DF4UE;UT3SO;7043.45;40M;14;2016-02-14 13:36;European Russia;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DF4UE;LZ5R;7039.2;40M;15;2016-02-14 13:36;Bulgaria;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
DF4UE;N0J;18070.0;17M;26;2016-02-14 13:36;United States;  NA;CW;EU;NA;Fed. Rep. of Germany;  EU;CQ
DF4UE;DL7CX;7046.59;40M;39;2016-02-14 13:36;Fed. Rep. of Germany;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DF4UE;4X6TU;18110.1;17M;14;2016-02-14 13:36;Israel;  AS;CW;EU;AS;Fed. Rep. of Germany;  EU;null
ES5TO;G0EKP;21024.1;15M;9;2016-02-14 13:36;England;  EU;CW;EU;EU;Estonia;  EU;CQ
ES5TO;SM5SSV;14137.2;20M;12;2016-02-14 13:36;Sweden;  EU;CW;EU;EU;Estonia;  EU;CQ
ON6ZQ;PA3EQN;7026.7;40M;4;2016-02-14 13:36;Netherlands;  EU;CW;EU;EU;Belgium;  EU;CQ
ON6ZQ;N0J;18070.0;17M;14;2016-02-14 13:36;United States;  NA;CW;EU;NA;Belgium;  EU;CQ
N8MSA;G3HGE;21030.0;15M;10;2016-02-14 13:36;England;  EU;CW;NA;EU;United States;  NA;CQ
EA5WU;KB8O;21084.7;15M;24;2016-02-14 13:36;United States;  NA;RTTY;EU;NA;Spain;  EU;CQ
EA5WU;DF2GW;10129.0;30M;4;2016-02-14 13:36;Fed. Rep. of Germany;  EU;CW;EU;EU;Spain;  EU;CQ
EA5WU;9A5K;14080.5;20M;31;2016-02-14 13:36;Croatia;  EU;RTTY;EU;EU;Spain;  EU;CQ
EA5WU;IT9DSZ;21084.7;15M;24;2016-02-14 13:36;Italy;  EU;RTTY;EU;EU;Spain;  EU;CQ
EA5WU;LZ2JA;21099.2;15M;42;2016-02-14 13:36;Bulgaria;  EU;RTTY;EU;EU;Spain;  EU;CQ
EA5WU;E77DX;14094.1;20M;31;2016-02-14 13:36;Bosnia-Herzegovina;  EU;RTTY;EU;EU;Spain;  EU;CQ
EA5WU;DL7CX;7046.6;40M;21;2016-02-14 13:36;Fed. Rep. of Germany;  EU;RTTY;EU;EU;Spain;  EU;CQ
EA5WU;ZX2B;28084.0;10M;19;2016-02-14 13:36;Brazil;  SA;RTTY;EU;SA;Spain;  EU;CQ
EA5WU;OH9UFO;28094.3;10M;36;2016-02-14 13:36;Finland;  EU;RTTY;EU;EU;Spain;  EU;CQ
KM3T;EA1BD;21095.25;15M;19;2016-02-14 13:36;Spain;  EU;RTTY;NA;EU;United States;  NA;CQ
KM3T;K9VSO;10115.0;30M;24;2016-02-14 13:36;United States;  NA;CW;NA;NA;United States;  NA;CQ
KM3T;G3HGE;21030.0;15M;14;2016-02-14 13:36;England;  EU;CW;NA;EU;United States;  NA;CQ
KM3T;SQ9UM;14067.28;20M;10;2016-02-14 13:36;Poland;  EU;RTTY;NA;EU;United States;  NA;CQ
KM3T;NR4M;28084.51;10M;10;2016-02-14 13:36;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
KM3T;W8BFT;7114.1;40M;19;2016-02-14 13:36;United States;  NA;CW;NA;NA;United States;  NA;CQ
KM3T;NB3R;21096.18;15M;10;2016-02-14 13:36;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
KM3T;VA3DF;21106.69;15M;14;2016-02-14 13:36;Canada;  NA;RTTY;NA;NA;United States;  NA;CQ
KM3T;LN5O;14072.03;20M;20;2016-02-14 13:36;Norway;  EU;RTTY;NA;EU;United States;  NA;CQ
KM3T;DC6RI;14074.03;20M;22;2016-02-14 13:36;Fed. Rep. of Germany;  EU;RTTY;NA;EU;United States;  NA;CQ
DK3UA;LZ5R;7039.2;40M;10;2016-02-14 13:36;Bulgaria;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
F6IIT;N0J;18070.2;17M;30;2016-02-14 13:36;United States;  NA;CW;EU;NA;France;  EU;CQ
F6IIT;3B8DB;24901.2;12M;16;2016-02-14 13:36;Mauritius;  AF;CW;EU;AF;France;  EU;CQ
WA7LNW;XE2CQ;7042.17;40M;18;2016-02-14 13:36;Mexico;  NA;RTTY;NA;NA;United States;  NA;CQ
WA7LNW;JH6QFJ;7053.71;40M;26;2016-02-14 13:36;Japan;  AS;RTTY;NA;AS;United States;  NA;CQ
WA7LNW;KK9A;21117.25;15M;7;2016-02-14 13:36;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
N7TR;JR2SBA;7002.5;40M;13;2016-02-14 13:36;Japan;  AS;CW;NA;AS;United States;  NA;CQ
JG1VGX;RW0A;7050.2;40M;8;2016-02-14 13:36;European Russia;  EU;RTTY;AS;EU;Japan;  AS;CQ
UD4FD;G3HGE;21029.8;15M;20;2016-02-14 13:36;England;  EU;CW;EU;EU;European Russia;  EU;CQ
UD4FD;G0EKP;21023.9;15M;7;2016-02-14 13:36;England;  EU;CW;EU;EU;European Russia;  EU;CQ
DO4DXA;RX1CV;21092.0;15M;26;2016-02-14 13:36;European Russia;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DO4DXA;UW2Q;21093.0;15M;21;2016-02-14 13:36;European Russia;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
JE1SGH;N0J;18070.0;17M;31;2016-02-14 13:36;United States;  NA;CW;AS;NA;Japan;  AS;CQ
PA5FN;E74Y;7017.4;40M;25;2016-02-14 13:36;Bosnia-Herzegovina;  EU;CW;EU;EU;Netherlands;  EU;CQ
K8ND;F5HB;28001.1;10M;10;2016-02-14 13:36;France;  EU;CW;NA;EU;United States;  NA;CQ
OH8WW;G3HGE;21030.2;15M;18;2016-02-14 13:36;England;  EU;CW;EU;EU;Finland;  EU;CQ
IK3STG;YU1ML;7028.6;40M;26;2016-02-14 13:36;Serbia;  EU;CW;EU;EU;Italy;  EU;CQ
HA2KSD;E74Y;7017.4;40M;54;2016-02-14 13:36;Bosnia-Herzegovina;  EU;CW;EU;EU;Hungary;  EU;CQ
HA2KSD;YO2GL;7014.8;40M;43;2016-02-14 13:36;Romania;  EU;CW;EU;EU;Hungary;  EU;CQ
HA2KSD;YO4FTE;7021.0;40M;35;2016-02-14 13:36;Romania;  EU;CW;EU;EU;Hungary;  EU;CQ
DK9IP;N0J;18070.0;17M;20;2016-02-14 13:36;United States;  NA;CW;EU;NA;Fed. Rep. of Germany;  EU;CQ
DK9IP;E74Y;7017.4;40M;26;2016-02-14 13:36;Bosnia-Herzegovina;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
TF3Y;9A2YM;24902.3;12M;15;2016-02-14 13:36;Croatia;  EU;CW;EU;EU;Iceland;  EU;CQ
TF3Y;G3HGE;21030.0;15M;19;2016-02-14 13:36;England;  EU;CW;EU;EU;Iceland;  EU;CQ
TF3Y;F5HB;28001.0;10M;28;2016-02-14 13:36;France;  EU;CW;EU;EU;Iceland;  EU;CQ
TF3Y;SM7ZDI;18084.9;17M;6;2016-02-14 13:36;Sweden;  EU;CW;EU;EU;Iceland;  EU;CQ
TF3Y;G0EKP;21024.1;15M;5;2016-02-14 13:36;England;  EU;CW;EU;EU;Iceland;  EU;CQ
RU9CZD;G0EKP;21024.1;15M;9;2016-02-14 13:36;England;  EU;CW;EU;EU;European Russia;  EU;CQ
S50ARX;UY5ZZ;14107.1;20M;51;2016-02-14 13:36;European Russia;  EU;RTTY;EU;EU;Slovenia;  EU;CQ
S50ARX;LZ5R;7039.2;40M;35;2016-02-14 13:36;Bulgaria;  EU;CW;EU;EU;Slovenia;  EU;CQ
S50ARX;YU1AHW;7036.5;40M;34;2016-02-14 13:36;Serbia;  EU;CW;EU;EU;Slovenia;  EU;CQ
S50ARX;LN5O;14110.0;20M;35;2016-02-14 13:36;Norway;  EU;RTTY;EU;EU;Slovenia;  EU;CQ
S50ARX;SV3FUO;7046.4;40M;39;2016-02-14 13:36;Greece;  EU;RTTY;EU;EU;Slovenia;  EU;CQ
S50ARX;Z37CEF;7027.5;40M;39;2016-02-14 13:36;Macedonia;  EU;CW;EU;EU;Slovenia;  EU;CQ
S50ARX;DL7CX;7046.6;40M;48;2016-02-14 13:36;Fed. Rep. of Germany;  EU;RTTY;EU;EU;Slovenia;  EU;CQ
DR2W;DL7CX;7046.7;40M;26;2016-02-14 13:36;Fed. Rep. of Germany;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DR2W;OG2P;21132.3;15M;43;2016-02-14 13:36;Finland;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DR2W;RK3SWS;14106.9;20M;31;2016-02-14 13:36;European Russia;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DR2W;EA8DO;28082.0;10M;6;2016-02-14 13:36;Spain;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DR2W;V55V;21101.8;15M;14;2016-02-14 13:36;Namibia;  AF;RTTY;EU;AF;Fed. Rep. of Germany;  EU;CQ
DR2W;N2NF;21132.8;15M;30;2016-02-14 13:36;United States;  NA;RTTY;EU;NA;Fed. Rep. of Germany;  EU;CQ
DR2W;KA3GIK;21111.7;15M;45;2016-02-14 13:36;United States;  NA;RTTY;EU;NA;Fed. Rep. of Germany;  EU;CQ
DR2W;RJ4I;21118.4;15M;17;2016-02-14 13:36;European Russia;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DR2W;YO2IS;14091.0;20M;22;2016-02-14 13:36;Romania;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DR2W;W2GR;14099.2;20M;16;2016-02-14 13:36;United States;  NA;RTTY;EU;NA;Fed. Rep. of Germany;  EU;CQ
RN4WA;LZ5R;7039.3;40M;15;2016-02-14 13:36;Bulgaria;  EU;CW;EU;EU;European Russia;  EU;CQ
RN4WA;YO7CVD;7023.6;40M;4;2016-02-14 13:36;Romania;  EU;CW;EU;EU;European Russia;  EU;CQ
K3NXH;F5HB;28000.9;10M;25;2016-02-14 13:36;France;  EU;CW;NA;EU;United States;  NA;CQ
HB9BXE;N0J;18070.0;17M;17;2016-02-14 13:36;United States;  NA;CW;EU;NA;Switzerland;  EU;CQ
AA4VV;G3HGE;21030.0;15M;20;2016-02-14 13:36;England;  EU;CW;NA;EU;United States;  NA;CQ
AA4VV;F5HB;28001.0;10M;8;2016-02-14 13:36;France;  EU;CW;NA;EU;United States;  NA;CQ
JF2IWL;E77DX;14094.1;20M;17;2016-02-14 13:36;Bosnia-Herzegovina;  EU;RTTY;AS;EU;Japan;  AS;CQ
JF2IWL;OK6DJ;14128.9;20M;14;2016-02-14 13:36;Czech Republic;  EU;RTTY;AS;EU;Japan;  AS;CQ
JF2IWL;RW0A;7050.2;40M;9;2016-02-14 13:36;European Russia;  EU;RTTY;AS;EU;Japan;  AS;CQ
NN3RP;EA1BD;21095.24;15M;6;2016-02-14 13:36;Spain;  EU;RTTY;NA;EU;United States;  NA;CQ
NN3RP;RU1AB;21081.72;15M;9;2016-02-14 13:36;European Russia;  EU;RTTY;NA;EU;United States;  NA;CQ
NN3RP;UW3U;14089.58;20M;40;2016-02-14 13:36;European Russia;  EU;RTTY;NA;EU;United States;  NA;CQ
BG5EEF;JR2SBA;7002.5;40M;12;2016-02-14 13:36;Japan;  AS;CW;AS;AS;China;  AS;CQ
K1TTT;9A2N;18088.1;17M;9;2016-02-14 13:36;Croatia;  EU;CW;NA;EU;United States;  NA;CQ
K1TTT;SM4LWY;18085.7;17M;7;2016-02-14 13:36;Sweden;  EU;CW;NA;EU;United States;  NA;CQ
DL9GTB;N2BJ;21129.4;15M;27;2016-02-14 13:36;United States;  NA;RTTY;EU;NA;Fed. Rep. of Germany;  EU;CQ
DL9GTB;I1WXY;28079.8;10M;10;2016-02-14 13:36;Italy;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DL9GTB;HB9CRV;14116.1;20M;49;2016-02-14 13:36;Switzerland;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DL9GTB;AC2OC;21119.8;15M;7;2016-02-14 13:36;United States;  NA;RTTY;EU;NA;Fed. Rep. of Germany;  EU;CQ
DL9GTB;A61DJ;28092.0;10M;65;2016-02-14 13:36;United Arab Emirates;  AS;RTTY;EU;AS;Fed. Rep. of Germany;  EU;CQ
DL9GTB;UY5ZZ;14107.1;20M;48;2016-02-14 13:36;European Russia;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DL9GTB;EA1BD;21095.2;15M;45;2016-02-14 13:36;Spain;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DL9GTB;DL7CX;7046.6;40M;38;2016-02-14 13:36;Fed. Rep. of Germany;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DL9GTB;S51AF;14094.8;20M;45;2016-02-14 13:36;Slovenia;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DL9GTB;M9K;14104.0;20M;29;2016-02-14 13:36;England;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DL9GTB;N2NF;21132.9;15M;25;2016-02-14 13:36;United States;  NA;RTTY;EU;NA;Fed. Rep. of Germany;  EU;CQ
DL9GTB;LX7I;14079.1;20M;18;2016-02-14 13:36;Luxembourg;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DL9GTB;US5ZCW;21136.9;15M;28;2016-02-14 13:36;European Russia;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DL9GTB;UA6GF;28088.6;10M;17;2016-02-14 13:36;European Russia;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DL9GTB;Z36N;21138.0;15M;62;2016-02-14 13:36;Macedonia;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DL9GTB;9A6KZH;21110.2;15M;13;2016-02-14 13:36;Croatia;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
ON5KQ;HB9DNP;21010.9;15M;6;2016-02-14 13:36;Switzerland;  EU;CW;EU;EU;Belgium;  EU;CQ
ON5KQ;9A2N;18088.1;17M;9;2016-02-14 13:36;Croatia;  EU;CW;EU;EU;Belgium;  EU;CQ
ON5KQ;YO2GL;7014.9;40M;19;2016-02-14 13:36;Romania;  EU;CW;EU;EU;Belgium;  EU;CQ
ON5KQ;EU4SE;28092.0;10M;36;2016-02-14 13:36;Belarus;  EU;CW;EU;EU;Belgium;  EU;CQ
K3LR;OM50CND;14022.2;20M;20;2016-02-14 13:36;Slovak Republic;  EU;CW;NA;EU;United States;  NA;CQ
K3LR;SQ9KPK;14020.6;20M;10;2016-02-14 13:36;Poland;  EU;CW;NA;EU;United States;  NA;CQ
K3LR;AE3E;7103.0;40M;12;2016-02-14 13:36;United States;  NA;CW;NA;NA;United States;  NA;CQ
WE4S;G3HGE;21030.0;15M;11;2016-02-14 13:36;England;  EU;CW;NA;EU;United States;  NA;CQ
DJ3AK;N0J;18070.0;17M;19;2016-02-14 13:36;United States;  NA;CW;EU;NA;Fed. Rep. of Germany;  EU;CQ
DJ3AK;E74Y;7017.4;40M;24;2016-02-14 13:36;Bosnia-Herzegovina;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
DJ3AK;YO2GL;7014.8;40M;17;2016-02-14 13:36;Romania;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
VU2PTT;YO5OHY;14085.16;20M;7;2016-02-14 13:36;Romania;  EU;RTTY;AS;EU;India;  AS;CQ
SV8RV;4Z4DX;21088.7;15M;18;2016-02-14 13:36;Israel;  AS;RTTY;EU;AS;Greece;  EU;CQ
SV8RV;SV3FUO;7046.3;40M;28;2016-02-14 13:36;Greece;  EU;RTTY;EU;EU;Greece;  EU;CQ
SV8RV;LY1R;21096.7;15M;18;2016-02-14 13:36;Lithuania;  EU;RTTY;EU;EU;Greece;  EU;CQ
SV8RV;9A5K;14080.5;20M;31;2016-02-14 13:36;Croatia;  EU;RTTY;EU;EU;Greece;  EU;CQ
SV8RV;K3RA;21094.0;15M;7;2016-02-14 13:36;United States;  NA;RTTY;EU;NA;Greece;  EU;CQ
SV8RV;OK1KSL;14084.5;20M;20;2016-02-14 13:36;Czech Republic;  EU;RTTY;EU;EU;Greece;  EU;CQ
SV8RV;HB9DNP;21010.8;15M;27;2016-02-14 13:36;Switzerland;  EU;CW;EU;EU;Greece;  EU;CQ
SV8RV;DL7CX;7046.7;40M;10;2016-02-14 13:36;Fed. Rep. of Germany;  EU;RTTY;EU;EU;Greece;  EU;CQ
SV8RV;A96A;21088.1;15M;16;2016-02-14 13:36;Bahrain;  AS;RTTY;EU;AS;Greece;  EU;CQ
SV8RV;YO2GL;7014.9;40M;6;2016-02-14 13:36;Romania;  EU;CW;EU;EU;Greece;  EU;CQ
JA4ZRK;N0J;18070.0;17M;5;2016-02-14 13:36;United States;  NA;CW;AS;NA;Japan;  AS;CQ
DK0TE;YU1ML;7028.6;40M;16;2016-02-14 13:36;Serbia;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
DK0TE;E74Y;7017.4;40M;40;2016-02-14 13:36;Bosnia-Herzegovina;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
DK0TE;YO2GL;7014.8;40M;13;2016-02-14 13:36;Romania;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
W3UA;G3HGE;21029.9;15M;31;2016-02-14 13:36;England;  EU;CW;NA;EU;United States;  NA;CQ
KU7T;JH6QFJ;7053.7;40M;28;2016-02-14 13:36;Japan;  AS;RTTY;NA;AS;United States;  NA;CQ
KU7T;NA6O;7051.4;40M;15;2016-02-14 13:36;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
KU7T;W0ELT;7060.2;40M;17;2016-02-14 13:36;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
KU7T;JL3JRY;7036.5;40M;31;2016-02-14 13:36;Japan;  AS;RTTY;NA;AS;United States;  NA;CQ
DF7GB;F5HB;28001.1;10M;13;2016-02-14 13:36;France;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
DF7GB;YU1ML;7028.6;40M;18;2016-02-14 13:36;Serbia;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
DF7GB;YO2GL;7014.9;40M;21;2016-02-14 13:36;Romania;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
WZ7I;R7AB;21099.8;15M;46;2016-02-14 13:36;European Russia;  EU;RTTY;NA;EU;United States;  NA;CQ
WZ7I;9A6KZH;21110.19;15M;25;2016-02-14 13:36;Croatia;  EU;RTTY;NA;EU;United States;  NA;CQ
WZ7I;LN5O;14109.98;20M;38;2016-02-14 13:36;Norway;  EU;RTTY;NA;EU;United States;  NA;CQ
WZ7I;UY5ZZ;14107.13;20M;57;2016-02-14 13:36;European Russia;  EU;RTTY;NA;EU;United States;  NA;CQ
WZ7I;SN7Q;21119.51;15M;47;2016-02-14 13:36;Poland;  EU;RTTY;NA;EU;United States;  NA;CQ
WZ7I;RZ1OA;21145.49;15M;37;2016-02-14 13:36;European Russia;  EU;RTTY;NA;EU;United States;  NA;CQ
WZ7I;KF2O;21130.88;15M;29;2016-02-14 13:36;United States;  NA;RTTY;NA;NA;United States;  NA;CQ
WZ7I;ES5Q;21123.99;15M;30;2016-02-14 13:36;Estonia;  EU;RTTY;NA;EU;United States;  NA;CQ
WZ7I;IZ1RYS;21094.44;15M;35;2016-02-14 13:36;Italy;  EU;RTTY;NA;EU;United States;  NA;CQ
