decall;dxcall;freq;band;S/N;datetime;country;continent;mode;decontinent;dxcontinent;de_country;skimmode
DF4UE;IK5FKF;14082.09;20M;14;2016-02-14 13:32;Italy;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DF4UE;OZ11A;14103.09;20M;38;2016-02-14 13:32;Denmark;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DF4UE;5P9X;21112.69;15M;20;2016-02-14 13:32;Denmark;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DF4UE;RL2D;14087.59;20M;30;2016-02-14 13:32;European Russia;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DF4UE;OH5C;14106.0;20M;41;2016-02-14 13:32;Finland;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DF4UE;RA9CUU;14080.83;20M;10;2016-02-14 13:32;European Russia;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DF4UE;EA4DB;28088.8;10M;39;2016-02-14 13:32;Spain;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
DF4UE;K3LU;28007.0;10M;22;2016-02-14 13:32;United States;  NA;CW;EU;NA;Fed. Rep. of Germany;  EU;CQ
DF4UE;SQ9UM;21119.26;15M;23;2016-02-14 13:32;Poland;  EU;RTTY;EU;EU;Fed. Rep. of Germany;  EU;CQ
CX7ACH;UT7E;21097.7;15M;10;2016-02-14 13:32;European Russia;  EU;RTTY;SA;EU;Uruguay;  SA;CQ
CX7ACH;IZ4NIC;14097.9;20M;6;2016-02-14 13:32;Italy;  EU;RTTY;SA;EU;Uruguay;  SA;CQ
KB9AMG;KW7D;14017.0;20M;35;2016-02-14 13:32;United States;  NA;CW;NA;NA;United States;  NA;CQ
HA6PX;YO3AAJ;7016.0;40M;23;2016-02-14 13:32;Romania;  EU;CW;EU;EU;Hungary;  EU;CQ
HA6PX;RK2M;14102.9;20M;42;2016-02-14 13:32;European Russia;  EU;RTTY;EU;EU;Hungary;  EU;CQ
HA6PX;RA9CUU;14080.8;20M;17;2016-02-14 13:32;European Russia;  EU;RTTY;EU;EU;Hungary;  EU;CQ
HA6PX;IQ6AN;14099.9;20M;41;2016-02-14 13:32;Italy;  EU;RTTY;EU;EU;Hungary;  EU;CQ
HA6PX;RW0A;7050.2;40M;16;2016-02-14 13:32;European Russia;  EU;RTTY;EU;EU;Hungary;  EU;CQ
HA6PX;RA/UY8MM;21014.1;15M;25;2016-02-14 13:32;European Russia;  EU;CW;EU;EU;Hungary;  EU;CQ
HA6PX;LZ5R;7005.8;40M;37;2016-02-14 13:32;Bulgaria;  EU;CW;EU;EU;Hungary;  EU;CQ
HA6PX;IZ1JLN;7044.0;40M;25;2016-02-14 13:32;Italy;  EU;RTTY;EU;EU;Hungary;  EU;CQ
HA6PX;YU1AHW;7036.6;40M;21;2016-02-14 13:32;Serbia;  EU;CW;EU;EU;Hungary;  EU;CQ
HA6PX;UN9GAV;14098.6;20M;34;2016-02-14 13:32;European Russia;  EU;RTTY;EU;EU;Hungary;  EU;CQ
WE9V;KW7D;14017.1;20M;30;2016-02-14 13:32;United States;  NA;CW;NA;NA;United States;  NA;CQ
WE9V;IZ3SQW;14093.5;20M;11;2016-02-14 13:32;Italy;  EU;RTTY;NA;EU;United States;  NA;CQ
WE9V;VA7KO;7040.46;40M;25;2016-02-14 13:32;Canada;  NA;RTTY;NA;NA;United States;  NA;CQ
DJ9IE;9A2YM;24901.7;12M;7;2016-02-14 13:32;Croatia;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
DJ9IE;VE2GDI;21016.3;15M;18;2016-02-14 13:32;Canada;  NA;CW;EU;NA;Fed. Rep. of Germany;  EU;CQ
DJ9IE;CT2KNA;14016.6;20M;17;2016-02-14 13:32;Portugal;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
DJ9IE;LZ5R;7005.83;40M;12;2016-02-14 13:32;Bulgaria;  EU;CW;EU;EU;Fed. Rep. of Germany;  EU;CQ
